,Mobile_Brand,Mobile model,mobile with 5g services,ROM,rating,No of ratings ,No of reviews,Battery,Display,Processor,warranty,RAM,Camera,Expandable,discounted_price,Original_price,discount_percent
43,APPLE,APPLE iPhone 11,, 64 GB,4.6,"1,78,400 ","10,573",,,,1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories,,,,"37,999","14,999",40
44,REDMI,REDMI 10 ,, 64 GB,4.3,"1,70,664 ","10,998",,,,,,,,"8,999","1,098",4%
45,Cellecor,Cellecor R3+ ,,,3.5,13 ,2,,15.49 cm (6.1 inch) Super Retina XDR ,,,,,,"1,049","14,999",40
46,REDMI,REDMI 10 ,, 64 GB,4.3,"1,70,664 ","10,998", ,,,,, 12MP Front ,,"8,999","19,999",40
47,POCO,POCO M4 Pro,, 128 GB,4.3,"1,34,634 ","12,280",,,"A15 Bionic Chip, 6 Core  ",,,,,"11,999","11,999",37
48,POCO,POCO C31 ,, 64 GB,4.3,"1,87,995 ","11,329",,,,1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories,,,,"7,499","17,999",38
49,Cellecor,Cellecor C60+ ,,,3.6,96 ,6,,,,,,,,"1,459","17,999",38
50,POCO,POCO M4 Pro,, 64 GB,4.3,"1,34,634 ","12,280",,15.49 cm (6.1 inch) Liquid Retina HD ,,,,,,"10,999","14,999",20
51,POCO,POCO M4 Pro,, 64 GB,4.3,"1,34,634 ","12,280", ,,,,, 12MP Front ,,"10,999","23,999",37
52,SAMSUNG,SAMSUNG Galaxy F13,, 64 GB,4.4,"1,11,744 ","6,424",,,A13 Bionic Chip ,,,,,"11,999","10,999",27
53,Cellecor,Cellecor E1 ,,,3.6,38 ,2,,,,Brand Warranty of 1 Year,,,,"1,229","11,999",37
54,SAMSUNG,SAMSUNG Galaxy F23,5G, 128 GB,4.3,"1,40,978 ","11,531", ,,,,32 MB  ,,  Upto 32 GB,"14,999","10,999",40
55,MOTOROLA,MOTOROLA e40 ,, 64 GB,4.1,"59,846 ","5,853",,6.1 cm (2.4 inch) ,,,,,,"7,999","10,999",27
56,POCO,POCO C31 ,, 64 GB,4.3,"1,87,995 ","11,329",,,,,,0.8MP Rear ,,"7,499","21,999",31
57,REDMI,REDMI 10 ,, 64 GB,4.3,"1,70,664 ","10,998", ,,,,4 GB  ,,  Upto 1 TB,"8,999","14,999",40
58,APPLE,APPLE iPhone 14,, 128 GB,4.7,"4,247 ",163,,17.2 cm (6.7 inch) HD+ ,,,,,,"67,999","79,900",14
59,APPLE,APPLE iPhone 11,, 64 GB,4.6,"1,78,400 ","10,573", ,,,,, 5MP Front ,,"37,999","43,900",13
60,Cellecor,Cellecor A30i ,,,3.4,19 ,2,6000 mAh Lithium Polymer Battery,,,,,,,"1,449","79,900",14
61,APPLE,APPLE iPhone 14,, 128 GB,4.7,"4,247 ",163,,,Qualcomm Snapdragon 68 ,,,,,"67,999","43,900",13
62,APPLE,APPLE iPhone 11,, 64 GB,4.6,"1,78,400 ","10,573",,,,1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories,,,,"37,999","14,999",40
63,REDMI,REDMI 10 ,, 64 GB,4.3,"1,70,664 ","10,998",,,,,,,,"8,999","19,999",40
64,Cellecor,Cellecor C60+ ,,,3.6,96 ,6,,15.49 cm (6.1 inch) Super Retina XDR ,,,,,,"1,459","11,999",37
65,POCO,POCO M4 Pro,, 128 GB,4.3,"1,34,634 ","12,280", ,,,,, 12MP Front ,,"11,999","17,999",38
66,POCO,POCO C31 ,, 64 GB,4.3,"1,87,995 ","11,329",,,"A15 Bionic Chip, 6 Core  ",,,,,"7,499","17,999",38
67,POCO,POCO M4 Pro,, 64 GB,4.3,"1,34,634 ","12,280",,,,1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories,,,,"10,999","14,999",20
