,Laptop_BRAND,Laptop model name,Device color,Number of ratings,Number of reviews,RAM,ROM,DISPLAY,Discounted_Price,Original_Price,Discount %
223,REDMI,REDMI 10 ,PacificBlue,"1,70,664","10,998",4 GB,64 GB,,"8,999","14,999",40
224,REDMI,REDMI 10 ,CaribbeanGreen,"1,70,664","10,998",4 GB,64 GB,,"8,999","79,900",14
225,APPLE,APPLE iPhone 14,Blue,"4,247",163,,128 GB,15.49 cm (6.1 inch) Super Retina XDR Display,"67,999","14,999",20
226,SAMSUNG,SAMSUNG Galaxy F13,NightskyGreen,"1,11,744","6,424",4 GB,64 GB,,"11,999","43,900",13
227,APPLE,APPLE iPhone 11,White,"1,78,400","10,573",,64 GB,15.49 cm (6.1 inch) Liquid Retina HD Display,"37,999","19,999",40
228,POCO,POCO M4 Pro,CoolBlue,"1,34,237","12,247",6 GB,128 GB,,"11,999","17,999",38
229,POCO,POCO M4 Pro,CoolBlue,"1,34,237","12,247",6 GB,64 GB,,"10,999","16,999",11
230,POCO,POCO M4 Pro5G,CoolBlue,"35,159","3,125",4 GB,64 GB,,"14,999","43,900",13
231,APPLE,APPLE iPhone 11,Black,"1,78,400","10,573",,64 GB,15.49 cm (6.1 inch) Liquid Retina HD Display,"37,999","17,999",38
232,POCO,POCO M4 Pro,Yellow,"1,34,237","12,247",6 GB,64 GB,,"10,999","19,999",40
233,POCO,POCO M4 Pro,Yellow,"1,34,237","12,247",6 GB,128 GB,,"11,999","11,999",37
234,POCO,POCO C31 ,RoyalBlue,"1,87,995","11,329",4 GB,64 GB,,"7,499","23,999",37
235,SAMSUNG,SAMSUNG Galaxy F235G,ForestGreen,"1,40,978","11,531",6 GB,128 GB,,"14,999","10,999",27
236,MOTOROLA,MOTOROLA e40 ,CarbonGray,"59,846","5,853",4 GB,64 GB,,"7,999","16,999",23
237,SAMSUNG,SAMSUNG Galaxy F13,NightskyGreen,"1,11,744","6,424",4 GB,128 GB,,"12,999","11,999",37
238,POCO,POCO C31 ,ShadowGray,"1,87,995","11,329",4 GB,64 GB,,"7,499","14,999",20
239,SAMSUNG,SAMSUNG Galaxy F13,SunriseCopper,"1,11,744","6,424",4 GB,64 GB,,"11,999","10,999",27
240,MOTOROLA,MOTOROLA e40 ,PinkClay,"59,846","5,853",4 GB,64 GB,,"7,999","14,999",20
241,SAMSUNG,SAMSUNG Galaxy F13,WaterfallBlue,"1,11,744","6,424",4 GB,64 GB,,"11,999","19,999",15
242,POCO,POCO M4 Pro5G,CoolBlue,"43,191","3,849",6 GB,128 GB,,"16,999","9,999",28
243,REDMI,REDMI 9i Sport,CarbonBlack,"2,16,491","12,210",4 GB,64 GB,,"7,199","23,999",37
244,I Kall ,I Kall Z7UltraSeries,Blue,343,35,4 GB,32 GB,15.9 cm (6.26 inch) Display,"5,989","6,299",4%
245,Tecno,Tecno Camon 19,SeaSaltWhite,195,21,6 GB,128 GB,,"14,980","15,449",3%
246,REDMI,REDMI 10 ,CaribbeanGreen,"1,70,664","10,998",4 GB,64 GB,,"8,999","14,999",40
247,APPLE,APPLE iPhone 14,Midnight,"4,247",163,,128 GB,15.49 cm (6.1 inch) Super Retina XDR Display,"67,999","79,900",14
248,APPLE,APPLE iPhone 11,White,"1,78,400","10,573",,64 GB,15.49 cm (6.1 inch) Liquid Retina HD Display,"37,999","43,900",13
249,APPLE,APPLE iPhone 14,Blue,"4,247",163,,128 GB,15.49 cm (6.1 inch) Super Retina XDR Display,"67,999","79,900",14
250,REDMI,REDMI 10 ,PacificBlue,"1,70,664","10,998",4 GB,64 GB,,"8,999","14,999",40
251,I Kall ,I Kall K3312,,"12,298","1,161",32 MB,64 MB,,999,"14,999",40
252,REDMI,REDMI 10 ,MidnightBlack,"1,70,664","10,998",4 GB,64 GB,,"8,999","19,999",40
253,POCO,POCO M4 Pro,CoolBlue,"1,34,237","12,247",6 GB,128 GB,,"11,999","43,900",13
254,APPLE,APPLE iPhone 11,Black,"1,78,400","10,573",,64 GB,15.49 cm (6.1 inch) Liquid Retina HD Display,"37,999","17,999",38
255,DIZO,DIZO Star 300,,"9,590","1,140",32 MB,32 MB,,"1,485","17,999",38
256,POCO,POCO M4 Pro,CoolBlue,"1,34,237","12,247",6 GB,64 GB,,"10,999","14,999",20
257,POCO,POCO M4 Pro,Yellow,"1,34,237","12,247",6 GB,64 GB,,"10,999","11,999",37
258,SAMSUNG,SAMSUNG Galaxy F13,NightskyGreen,"1,11,744","6,424",4 GB,64 GB,,"11,999","23,999",37
259,DIZO,DIZO Star 500,,"12,421","1,467",32 MB,32 MB,,"1,899","10,999",27
260,POCO,POCO C31 ,RoyalBlue,"1,87,995","11,329",4 GB,64 GB,,"7,499",829,6%
261,SAMSUNG,SAMSUNG Galaxy F235G,ForestGreen,"1,40,978","11,531",6 GB,128 GB,,"14,999","11,999",37
262,MOTOROLA,MOTOROLA e40 ,CarbonGray,"59,846","5,853",4 GB,64 GB,,"7,999","10,999",40
263,I Kall ,I Kall KingTalking ContacticonandAuto,,"15,092","1,403",32 MB,32 MB,4.57 cm (1.8 inch) Display,774,"16,999",11
264,DIZO,DIZO Star 500,,"12,421","1,467",32 MB,32 MB,,"1,899","79,900",14
265,APPLE,APPLE iPhone 14,Midnight,"4,247",163,,128 GB,15.49 cm (6.1 inch) Super Retina XDR Display,"67,999","14,999",40
266,REDMI,REDMI 10 ,PacificBlue,"1,70,664","10,998",4 GB,64 GB,,"8,999","14,999",40
267,REDMI,REDMI 10 ,CaribbeanGreen,"1,70,664","10,998",4 GB,64 GB,,"8,999","79,900",14
268,APPLE,APPLE iPhone 14,Blue,"4,247",163,,128 GB,15.49 cm (6.1 inch) Super Retina XDR Display,"67,999","14,999",20
269,SAMSUNG,SAMSUNG Galaxy F13,NightskyGreen,"1,11,744","6,424",4 GB,64 GB,,"11,999","43,900",13
270,APPLE,APPLE iPhone 11,White,"1,78,400","10,573",,64 GB,15.49 cm (6.1 inch) Liquid Retina HD Display,"37,999","19,999",40
271,POCO,POCO M4 Pro,CoolBlue,"1,34,237","12,247",6 GB,128 GB,,"11,999","17,999",38
272,POCO,POCO M4 Pro,CoolBlue,"1,34,237","12,247",6 GB,64 GB,,"10,999","16,999",11
273,POCO,POCO M4 Pro5G,CoolBlue,"35,159","3,125",4 GB,64 GB,,"14,999","43,900",13
274,APPLE,APPLE iPhone 11,Black,"1,78,400","10,573",,64 GB,15.49 cm (6.1 inch) Liquid Retina HD Display,"37,999","17,999",38
275,POCO,POCO M4 Pro,Yellow,"1,34,237","12,247",6 GB,64 GB,,"10,999","19,999",40
276,POCO,POCO M4 Pro,Yellow,"1,34,237","12,247",6 GB,128 GB,,"11,999","11,999",37
277,POCO,POCO C31 ,RoyalBlue,"1,87,995","11,329",4 GB,64 GB,,"7,499","23,999",37
278,SAMSUNG,SAMSUNG Galaxy F235G,ForestGreen,"1,40,978","11,531",6 GB,128 GB,,"14,999","10,999",27
279,MOTOROLA,MOTOROLA e40 ,CarbonGray,"59,846","5,853",4 GB,64 GB,,"7,999","16,999",23
280,SAMSUNG,SAMSUNG Galaxy F13,NightskyGreen,"1,11,744","6,424",4 GB,128 GB,,"12,999","11,999",37
281,POCO,POCO C31 ,ShadowGray,"1,87,995","11,329",4 GB,64 GB,,"7,499","14,999",20
282,SAMSUNG,SAMSUNG Galaxy F13,SunriseCopper,"1,11,744","6,424",4 GB,64 GB,,"11,999","10,999",27
283,MOTOROLA,MOTOROLA e40 ,PinkClay,"59,846","5,853",4 GB,64 GB,,"7,999","14,999",20
284,SAMSUNG,SAMSUNG Galaxy F13,WaterfallBlue,"1,11,744","6,424",4 GB,64 GB,,"11,999","19,999",15
285,POCO,POCO M4 Pro5G,CoolBlue,"43,191","3,849",6 GB,128 GB,,"16,999","9,999",28
286,REDMI,REDMI 9i Sport,CarbonBlack,"2,16,491","12,210",4 GB,64 GB,,"7,199","23,999",37
287,I Kall ,I Kall Z7UltraSeries,Blue,343,35,4 GB,32 GB,15.9 cm (6.26 inch) Display,"5,989","6,299",4%
288,Tecno,Tecno Camon 19,SeaSaltWhite,195,21,6 GB,128 GB,,"14,980","15,449",3%
289,REDMI,REDMI 10 ,CaribbeanGreen,"1,70,664","10,998",4 GB,64 GB,,"8,999","14,999",40
290,APPLE,APPLE iPhone 14,Midnight,"4,247",163,,128 GB,15.49 cm (6.1 inch) Super Retina XDR Display,"67,999","79,900",14
291,APPLE,APPLE iPhone 11,White,"1,78,400","10,573",,64 GB,15.49 cm (6.1 inch) Liquid Retina HD Display,"37,999","43,900",13
292,APPLE,APPLE iPhone 14,Blue,"4,247",163,,128 GB,15.49 cm (6.1 inch) Super Retina XDR Display,"67,999","79,900",14
293,REDMI,REDMI 10 ,PacificBlue,"1,70,664","10,998",4 GB,64 GB,,"8,999","14,999",40
294,I Kall ,I Kall K3312,,"12,298","1,161",32 MB,64 MB,,999,"14,999",40
295,REDMI,REDMI 10 ,MidnightBlack,"1,70,664","10,998",4 GB,64 GB,,"8,999","19,999",40
296,POCO,POCO M4 Pro,CoolBlue,"1,34,237","12,247",6 GB,128 GB,,"11,999","43,900",13
297,APPLE,APPLE iPhone 11,Black,"1,78,400","10,573",,64 GB,15.49 cm (6.1 inch) Liquid Retina HD Display,"37,999","17,999",38
298,DIZO,DIZO Star 300,,"9,590","1,140",32 MB,32 MB,,"1,485","17,999",38
299,POCO,POCO M4 Pro,CoolBlue,"1,34,237","12,247",6 GB,64 GB,,"10,999","14,999",20
300,POCO,POCO M4 Pro,Yellow,"1,34,237","12,247",6 GB,64 GB,,"10,999","11,999",37
301,SAMSUNG,SAMSUNG Galaxy F13,NightskyGreen,"1,11,744","6,424",4 GB,64 GB,,"11,999","23,999",37
302,DIZO,DIZO Star 500,,"12,421","1,467",32 MB,32 MB,,"1,899","10,999",27
303,POCO,POCO C31 ,RoyalBlue,"1,87,995","11,329",4 GB,64 GB,,"7,499",829,6%
304,SAMSUNG,SAMSUNG Galaxy F235G,ForestGreen,"1,40,978","11,531",6 GB,128 GB,,"14,999","11,999",37
305,MOTOROLA,MOTOROLA e40 ,CarbonGray,"59,846","5,853",4 GB,64 GB,,"7,999","10,999",40
306,I Kall ,I Kall KingTalking ContacticonandAuto,,"15,092","1,403",32 MB,32 MB,4.57 cm (1.8 inch) Display,774,"16,999",11
307,I Kall ,I Kall Z7UltraSeries,Blue,343,35,4 GB,32 GB,15.9 cm (6.26 inch) Display,"5,989","6,299",4%
308,Tecno,Tecno Camon 19,SeaSaltWhite,195,21,6 GB,128 GB,,"14,980","15,449",3%
309,REDMI,REDMI 10 ,CaribbeanGreen,"1,70,664","10,998",4 GB,64 GB,,"8,999","14,999",40
310,APPLE,APPLE iPhone 14,Midnight,"4,247",163,,128 GB,15.49 cm (6.1 inch) Super Retina XDR Display,"67,999","79,900",14
311,APPLE,APPLE iPhone 11,White,"1,78,400","10,573",,64 GB,15.49 cm (6.1 inch) Liquid Retina HD Display,"37,999","43,900",13
312,APPLE,APPLE iPhone 14,Blue,"4,247",163,,128 GB,15.49 cm (6.1 inch) Super Retina XDR Display,"67,999","79,900",14
313,REDMI,REDMI 10 ,PacificBlue,"1,70,664","10,998",4 GB,64 GB,,"8,999","14,999",40
314,I Kall ,I Kall K3312,,"12,298","1,161",32 MB,64 MB,,999,"14,999",40
315,REDMI,REDMI 10 ,MidnightBlack,"1,70,664","10,998",4 GB,64 GB,,"8,999","19,999",40
316,POCO,POCO M4 Pro,CoolBlue,"1,34,237","12,247",6 GB,128 GB,,"11,999","43,900",13
317,APPLE,APPLE iPhone 11,Black,"1,78,400","10,573",,64 GB,15.49 cm (6.1 inch) Liquid Retina HD Display,"37,999","17,999",38
318,DIZO,DIZO Star 300,,"9,590","1,140",32 MB,32 MB,,"1,485","17,999",38
319,POCO,POCO M4 Pro,CoolBlue,"1,34,237","12,247",6 GB,64 GB,,"10,999","14,999",20
320,POCO,POCO M4 Pro,Yellow,"1,34,237","12,247",6 GB,64 GB,,"10,999","11,999",37
321,SAMSUNG,SAMSUNG Galaxy F13,NightskyGreen,"1,11,744","6,424",4 GB,64 GB,,"11,999","23,999",37
322,DIZO,DIZO Star 500,,"12,421","1,467",32 MB,32 MB,,"1,899","10,999",27
323,POCO,POCO C31 ,RoyalBlue,"1,87,995","11,329",4 GB,64 GB,,"7,499",829,6%
324,SAMSUNG,SAMSUNG Galaxy F235G,ForestGreen,"1,40,978","11,531",6 GB,128 GB,,"14,999","11,999",37
325,MOTOROLA,MOTOROLA e40 ,CarbonGray,"59,846","5,853",4 GB,64 GB,,"7,999","10,999",40
326,I Kall ,I Kall KingTalking ContacticonandAuto,,"15,092","1,403",32 MB,32 MB,4.57 cm (1.8 inch) Display,774,"16,999",11
327,I Kall ,I Kall Z7UltraSeries,Blue,343,35,4 GB,32 GB,15.9 cm (6.26 inch) Display,"5,989","6,299",4%
328,Tecno,Tecno Camon 19,SeaSaltWhite,195,21,6 GB,128 GB,,"14,980","15,449",3%
329,REDMI,REDMI 10 ,CaribbeanGreen,"1,70,664","10,998",4 GB,64 GB,,"8,999","14,999",40
330,APPLE,APPLE iPhone 14,Midnight,"4,247",163,,128 GB,15.49 cm (6.1 inch) Super Retina XDR Display,"67,999","79,900",14
331,APPLE,APPLE iPhone 11,White,"1,78,400","10,573",,64 GB,15.49 cm (6.1 inch) Liquid Retina HD Display,"37,999","43,900",13
332,APPLE,APPLE iPhone 14,Blue,"4,247",163,,128 GB,15.49 cm (6.1 inch) Super Retina XDR Display,"67,999","79,900",14
333,REDMI,REDMI 10 ,PacificBlue,"1,70,664","10,998",4 GB,64 GB,,"8,999","14,999",40
334,I Kall ,I Kall K3312,,"12,298","1,161",32 MB,64 MB,,999,"14,999",40
335,REDMI,REDMI 10 ,MidnightBlack,"1,70,664","10,998",4 GB,64 GB,,"8,999","19,999",40
336,POCO,POCO M4 Pro,CoolBlue,"1,34,237","12,247",6 GB,128 GB,,"11,999","43,900",13
337,APPLE,APPLE iPhone 11,Black,"1,78,400","10,573",,64 GB,15.49 cm (6.1 inch) Liquid Retina HD Display,"37,999","17,999",38
338,DIZO,DIZO Star 300,,"9,590","1,140",32 MB,32 MB,,"1,485","17,999",38
339,POCO,POCO M4 Pro,CoolBlue,"1,34,237","12,247",6 GB,64 GB,,"10,999","14,999",20
340,POCO,POCO M4 Pro,Yellow,"1,34,237","12,247",6 GB,64 GB,,"10,999","11,999",37
341,SAMSUNG,SAMSUNG Galaxy F13,NightskyGreen,"1,11,744","6,424",4 GB,64 GB,,"11,999","23,999",37
342,DIZO,DIZO Star 500,,"12,421","1,467",32 MB,32 MB,,"1,899","10,999",27
343,POCO,POCO C31 ,RoyalBlue,"1,87,995","11,329",4 GB,64 GB,,"7,499",829,6%
344,SAMSUNG,SAMSUNG Galaxy F235G,ForestGreen,"1,40,978","11,531",6 GB,128 GB,,"14,999","11,999",37
345,MOTOROLA,MOTOROLA e40 ,CarbonGray,"59,846","5,853",4 GB,64 GB,,"7,999","10,999",40
346,I Kall ,I Kall KingTalking ContacticonandAuto,,"15,092","1,403",32 MB,32 MB,4.57 cm (1.8 inch) Display,774,"16,999",11
347,DIZO,DIZO Star 500,,"12,421","1,467",32 MB,32 MB,,"1,899","79,900",14
348,APPLE,APPLE iPhone 14,Midnight,"4,247",163,,128 GB,15.49 cm (6.1 inch) Super Retina XDR Display,"67,999","14,999",40
349,REDMI,REDMI 10 ,PacificBlue,"1,70,664","10,998",4 GB,64 GB,,"8,999","14,999",40
350,REDMI,REDMI 10 ,CaribbeanGreen,"1,70,664","10,998",4 GB,64 GB,,"8,999","79,900",14
351,APPLE,APPLE iPhone 14,Blue,"4,247",163,,128 GB,15.49 cm (6.1 inch) Super Retina XDR Display,"67,999","14,999",20
352,SAMSUNG,SAMSUNG Galaxy F13,NightskyGreen,"1,11,744","6,424",4 GB,64 GB,,"11,999","43,900",13
353,APPLE,APPLE iPhone 11,White,"1,78,400","10,573",,64 GB,15.49 cm (6.1 inch) Liquid Retina HD Display,"37,999","19,999",40
354,POCO,POCO M4 Pro,CoolBlue,"1,34,237","12,247",6 GB,128 GB,,"11,999","17,999",38
355,POCO,POCO M4 Pro,CoolBlue,"1,34,237","12,247",6 GB,64 GB,,"10,999","16,999",11
356,POCO,POCO M4 Pro5G,CoolBlue,"35,159","3,125",4 GB,64 GB,,"14,999","43,900",13
357,APPLE,APPLE iPhone 11,Black,"1,78,400","10,573",,64 GB,15.49 cm (6.1 inch) Liquid Retina HD Display,"37,999","17,999",38
358,POCO,POCO M4 Pro,Yellow,"1,34,237","12,247",6 GB,64 GB,,"10,999","19,999",40
359,POCO,POCO M4 Pro,Yellow,"1,34,237","12,247",6 GB,128 GB,,"11,999","11,999",37
360,POCO,POCO C31 ,RoyalBlue,"1,87,995","11,329",4 GB,64 GB,,"7,499","23,999",37
361,SAMSUNG,SAMSUNG Galaxy F235G,ForestGreen,"1,40,978","11,531",6 GB,128 GB,,"14,999","10,999",27
362,MOTOROLA,MOTOROLA e40 ,CarbonGray,"59,846","5,853",4 GB,64 GB,,"7,999","16,999",23
363,SAMSUNG,SAMSUNG Galaxy F13,NightskyGreen,"1,11,744","6,424",4 GB,128 GB,,"12,999","11,999",37
364,POCO,POCO C31 ,ShadowGray,"1,87,995","11,329",4 GB,64 GB,,"7,499","14,999",20
365,SAMSUNG,SAMSUNG Galaxy F13,SunriseCopper,"1,11,744","6,424",4 GB,64 GB,,"11,999","10,999",27
366,MOTOROLA,MOTOROLA e40 ,PinkClay,"59,846","5,853",4 GB,64 GB,,"7,999","14,999",20
367,SAMSUNG,SAMSUNG Galaxy F13,WaterfallBlue,"1,11,744","6,424",4 GB,64 GB,,"11,999","19,999",15
368,POCO,POCO M4 Pro5G,CoolBlue,"43,191","3,849",6 GB,128 GB,,"16,999","9,999",28
369,REDMI,REDMI 9i Sport,CarbonBlack,"2,16,491","12,210",4 GB,64 GB,,"7,199","23,999",37
370,I Kall ,I Kall Z7UltraSeries,Blue,343,35,4 GB,32 GB,15.9 cm (6.26 inch) Display,"5,989","6,299",4%
371,Tecno,Tecno Camon 19,SeaSaltWhite,195,21,6 GB,128 GB,,"14,980","15,449",3%
372,REDMI,REDMI 10 ,CaribbeanGreen,"1,70,664","10,998",4 GB,64 GB,,"8,999","14,999",40
373,APPLE,APPLE iPhone 14,Midnight,"4,247",163,,128 GB,15.49 cm (6.1 inch) Super Retina XDR Display,"67,999","79,900",14
374,APPLE,APPLE iPhone 11,White,"1,78,400","10,573",,64 GB,15.49 cm (6.1 inch) Liquid Retina HD Display,"37,999","43,900",13
375,APPLE,APPLE iPhone 14,Blue,"4,247",163,,128 GB,15.49 cm (6.1 inch) Super Retina XDR Display,"67,999","79,900",14
376,REDMI,REDMI 10 ,PacificBlue,"1,70,664","10,998",4 GB,64 GB,,"8,999","14,999",40
377,I Kall ,I Kall K3312,,"12,298","1,161",32 MB,64 MB,,999,"14,999",40
378,REDMI,REDMI 10 ,MidnightBlack,"1,70,664","10,998",4 GB,64 GB,,"8,999","19,999",40
379,POCO,POCO M4 Pro,CoolBlue,"1,34,237","12,247",6 GB,128 GB,,"11,999","43,900",13
380,APPLE,APPLE iPhone 11,Black,"1,78,400","10,573",,64 GB,15.49 cm (6.1 inch) Liquid Retina HD Display,"37,999","17,999",38
381,DIZO,DIZO Star 300,,"9,590","1,140",32 MB,32 MB,,"1,485","17,999",38
382,POCO,POCO M4 Pro,CoolBlue,"1,34,237","12,247",6 GB,64 GB,,"10,999","14,999",20
383,POCO,POCO M4 Pro,Yellow,"1,34,237","12,247",6 GB,64 GB,,"10,999","11,999",37
384,SAMSUNG,SAMSUNG Galaxy F13,NightskyGreen,"1,11,744","6,424",4 GB,64 GB,,"11,999","23,999",37
385,DIZO,DIZO Star 500,,"12,421","1,467",32 MB,32 MB,,"1,899","10,999",27
386,POCO,POCO C31 ,RoyalBlue,"1,87,995","11,329",4 GB,64 GB,,"7,499",829,6%
387,SAMSUNG,SAMSUNG Galaxy F235G,ForestGreen,"1,40,978","11,531",6 GB,128 GB,,"14,999","11,999",37
388,MOTOROLA,MOTOROLA e40 ,CarbonGray,"59,846","5,853",4 GB,64 GB,,"7,999","10,999",40
389,I Kall ,I Kall KingTalking ContacticonandAuto,,"15,092","1,403",32 MB,32 MB,4.57 cm (1.8 inch) Display,774,"16,999",11
390,DIZO,DIZO Star 500,,"12,421","1,467",32 MB,32 MB,,"1,899","79,900",14
391,APPLE,APPLE iPhone 14,Midnight,"4,247",163,,128 GB,15.49 cm (6.1 inch) Super Retina XDR Display,"67,999","14,999",40
392,REDMI,REDMI 10 ,PacificBlue,"1,70,664","10,998",4 GB,64 GB,,"8,999","14,999",40
393,REDMI,REDMI 10 ,CaribbeanGreen,"1,70,664","10,998",4 GB,64 GB,,"8,999","79,900",14
394,APPLE,APPLE iPhone 14,Blue,"4,247",163,,128 GB,15.49 cm (6.1 inch) Super Retina XDR Display,"67,999","14,999",20
395,SAMSUNG,SAMSUNG Galaxy F13,NightskyGreen,"1,11,744","6,424",4 GB,64 GB,,"11,999","43,900",13
396,APPLE,APPLE iPhone 11,White,"1,78,400","10,573",,64 GB,15.49 cm (6.1 inch) Liquid Retina HD Display,"37,999","19,999",40
397,POCO,POCO M4 Pro,CoolBlue,"1,34,237","12,247",6 GB,128 GB,,"11,999","17,999",38
398,POCO,POCO M4 Pro,CoolBlue,"1,34,237","12,247",6 GB,64 GB,,"10,999","16,999",11
399,POCO,POCO M4 Pro5G,CoolBlue,"35,159","3,125",4 GB,64 GB,,"14,999","43,900",13
400,APPLE,APPLE iPhone 11,Black,"1,78,400","10,573",,64 GB,15.49 cm (6.1 inch) Liquid Retina HD Display,"37,999","17,999",38
401,POCO,POCO M4 Pro,Yellow,"1,34,237","12,247",6 GB,64 GB,,"10,999","19,999",40
402,POCO,POCO M4 Pro,Yellow,"1,34,237","12,247",6 GB,128 GB,,"11,999","11,999",37
403,POCO,POCO C31 ,RoyalBlue,"1,87,995","11,329",4 GB,64 GB,,"7,499","23,999",37
404,SAMSUNG,SAMSUNG Galaxy F235G,ForestGreen,"1,40,978","11,531",6 GB,128 GB,,"14,999","10,999",27
405,MOTOROLA,MOTOROLA e40 ,CarbonGray,"59,846","5,853",4 GB,64 GB,,"7,999","16,999",23
406,SAMSUNG,SAMSUNG Galaxy F13,NightskyGreen,"1,11,744","6,424",4 GB,128 GB,,"12,999","11,999",37
407,POCO,POCO C31 ,ShadowGray,"1,87,995","11,329",4 GB,64 GB,,"7,499","14,999",20
408,SAMSUNG,SAMSUNG Galaxy F13,SunriseCopper,"1,11,744","6,424",4 GB,64 GB,,"11,999","10,999",27
409,MOTOROLA,MOTOROLA e40 ,PinkClay,"59,846","5,853",4 GB,64 GB,,"7,999","14,999",20
410,SAMSUNG,SAMSUNG Galaxy F13,WaterfallBlue,"1,11,744","6,424",4 GB,64 GB,,"11,999","19,999",15
411,POCO,POCO M4 Pro5G,CoolBlue,"43,191","3,849",6 GB,128 GB,,"16,999","9,999",28
412,REDMI,REDMI 9i Sport,CarbonBlack,"2,16,491","12,210",4 GB,64 GB,,"7,199","23,999",37
413,DIZO,DIZO Star 500,,"12,421","1,467",32 MB,32 MB,,"1,899","79,900",14
414,APPLE,APPLE iPhone 14,Midnight,"4,247",163,,128 GB,15.49 cm (6.1 inch) Super Retina XDR Display,"67,999","14,999",40
415,REDMI,REDMI 10 ,PacificBlue,"1,70,664","10,998",4 GB,64 GB,,"8,999","14,999",40
416,REDMI,REDMI 10 ,CaribbeanGreen,"1,70,664","10,998",4 GB,64 GB,,"8,999","79,900",14
417,APPLE,APPLE iPhone 14,Blue,"4,247",163,,128 GB,15.49 cm (6.1 inch) Super Retina XDR Display,"67,999","14,999",20
418,SAMSUNG,SAMSUNG Galaxy F13,NightskyGreen,"1,11,744","6,424",4 GB,64 GB,,"11,999","43,900",13
419,APPLE,APPLE iPhone 11,White,"1,78,400","10,573",,64 GB,15.49 cm (6.1 inch) Liquid Retina HD Display,"37,999","19,999",40
420,POCO,POCO M4 Pro,CoolBlue,"1,34,237","12,247",6 GB,128 GB,,"11,999","17,999",38
421,POCO,POCO M4 Pro,CoolBlue,"1,34,237","12,247",6 GB,64 GB,,"10,999","16,999",11
422,POCO,POCO M4 Pro5G,CoolBlue,"35,159","3,125",4 GB,64 GB,,"14,999","43,900",13
423,APPLE,APPLE iPhone 11,Black,"1,78,400","10,573",,64 GB,15.49 cm (6.1 inch) Liquid Retina HD Display,"37,999","17,999",38
424,POCO,POCO M4 Pro,Yellow,"1,34,237","12,247",6 GB,64 GB,,"10,999","19,999",40
425,POCO,POCO M4 Pro,Yellow,"1,34,237","12,247",6 GB,128 GB,,"11,999","11,999",37
426,POCO,POCO C31 ,RoyalBlue,"1,87,995","11,329",4 GB,64 GB,,"7,499","23,999",37
427,SAMSUNG,SAMSUNG Galaxy F235G,ForestGreen,"1,40,978","11,531",6 GB,128 GB,,"14,999","10,999",27
428,MOTOROLA,MOTOROLA e40 ,CarbonGray,"59,846","5,853",4 GB,64 GB,,"7,999","16,999",23
429,SAMSUNG,SAMSUNG Galaxy F13,NightskyGreen,"1,11,744","6,424",4 GB,128 GB,,"12,999","11,999",37
430,POCO,POCO C31 ,ShadowGray,"1,87,995","11,329",4 GB,64 GB,,"7,499","14,999",20
431,SAMSUNG,SAMSUNG Galaxy F13,SunriseCopper,"1,11,744","6,424",4 GB,64 GB,,"11,999","10,999",27
432,MOTOROLA,MOTOROLA e40 ,PinkClay,"59,846","5,853",4 GB,64 GB,,"7,999","14,999",20
433,SAMSUNG,SAMSUNG Galaxy F13,WaterfallBlue,"1,11,744","6,424",4 GB,64 GB,,"11,999","19,999",15
434,POCO,POCO M4 Pro5G,CoolBlue,"43,191","3,849",6 GB,128 GB,,"16,999","9,999",28
435,REDMI,REDMI 9i Sport,CarbonBlack,"2,16,491","12,210",4 GB,64 GB,,"7,199","23,999",37
436,DIZO,DIZO Star 500,,"12,421","1,467",32 MB,32 MB,,"1,899","79,900",14
437,APPLE,APPLE iPhone 14,Midnight,"4,247",163,,128 GB,15.49 cm (6.1 inch) Super Retina XDR Display,"67,999","14,999",40
438,REDMI,REDMI 10 ,PacificBlue,"1,70,664","10,998",4 GB,64 GB,,"8,999","14,999",40
439,REDMI,REDMI 10 ,CaribbeanGreen,"1,70,664","10,998",4 GB,64 GB,,"8,999","79,900",14
440,APPLE,APPLE iPhone 14,Blue,"4,247",163,,128 GB,15.49 cm (6.1 inch) Super Retina XDR Display,"67,999","14,999",20
441,SAMSUNG,SAMSUNG Galaxy F13,NightskyGreen,"1,11,744","6,424",4 GB,64 GB,,"11,999","43,900",13
442,APPLE,APPLE iPhone 11,White,"1,78,400","10,573",,64 GB,15.49 cm (6.1 inch) Liquid Retina HD Display,"37,999","19,999",40
443,POCO,POCO M4 Pro,CoolBlue,"1,34,237","12,247",6 GB,128 GB,,"11,999","17,999",38
444,POCO,POCO M4 Pro,CoolBlue,"1,34,237","12,247",6 GB,64 GB,,"10,999","16,999",11
445,POCO,POCO M4 Pro5G,CoolBlue,"35,159","3,125",4 GB,64 GB,,"14,999","43,900",13
446,APPLE,APPLE iPhone 11,Black,"1,78,400","10,573",,64 GB,15.49 cm (6.1 inch) Liquid Retina HD Display,"37,999","17,999",38
447,POCO,POCO M4 Pro,Yellow,"1,34,237","12,247",6 GB,64 GB,,"10,999","19,999",40
448,POCO,POCO M4 Pro,Yellow,"1,34,237","12,247",6 GB,128 GB,,"11,999","11,999",37
449,POCO,POCO C31 ,RoyalBlue,"1,87,995","11,329",4 GB,64 GB,,"7,499","23,999",37
450,SAMSUNG,SAMSUNG Galaxy F235G,ForestGreen,"1,40,978","11,531",6 GB,128 GB,,"14,999","10,999",27
