,Mobile_name,Specifics,Rating & Reviews, Discount
45,"POCO M4 Pro 5G (Cool Blue, 64 GB)",64 GB ROM,"35,159 Ratings & 3,125 Reviews",37% off
46,"I Kall Z7 Ultra Series (Blue, 32 GB)",4 GB RAM | 32 GB ROM,343 Ratings & 35 Reviews,4% off
47,"Tecno Camon 19 (Sea Salt White, 128 GB)",15.9 cm (6.26 inch) Display,195 Ratings & 21 Reviews,3% off
48,"REDMI 10 (Caribbean Green, 64 GB)",13MP Rear Camera | 8MP Front Camera,"1,70,664 Ratings & 10,998 Reviews",40% off
49,"APPLE iPhone 14 (Midnight, 128 GB)",4000 mAh Battery,"4,247 Ratings & 163 Reviews",14% off
50,"APPLE iPhone 11 (White, 64 GB)",1 year manufacturing warranty for mobile and 6 months for box accessories,"1,78,400 Ratings & 10,573 Reviews",13% off
51,"APPLE iPhone 14 (Blue, 128 GB)",6 GB RAM | 128 GB ROM | Expandable Upto 512 GB,"4,247 Ratings & 163 Reviews",14% off
52,"REDMI 10 (Pacific Blue, 64 GB)",17.27 cm (6.8 inch) Full HD+ Display,"1,70,664 Ratings & 10,998 Reviews",40% off
53,I Kall K3312,64MP + 2MP | 16MP Front Camera,"12,298 Ratings & 1,161 Reviews",40% off
54,"REDMI 10 (Midnight Black, 64 GB)",5000 mAh Battery,"1,70,664 Ratings & 10,998 Reviews",40% off
55,"POCO M4 Pro (Cool Blue, 128 GB)",MediaTek Helio G85 Processor,"1,34,237 Ratings & 12,247 Reviews",13% off
56,"APPLE iPhone 11 (Black, 64 GB)","1 Year Warranty for Handset, 6 Months for Accessories","1,78,400 Ratings & 10,573 Reviews",38% off
57,DIZO Star 300,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,"9,590 Ratings & 1,140 Reviews",38% off
58,"POCO M4 Pro (Cool Blue, 64 GB)",17.02 cm (6.7 inch) HD+ Display,"1,34,237 Ratings & 12,247 Reviews",20% off
59,"POCO M4 Pro (Yellow, 64 GB)",50MP + 2MP | 5MP Front Camera,"1,34,237 Ratings & 12,247 Reviews",37% off
60,"SAMSUNG Galaxy F13 (Nightsky Green, 64 GB)",6000 mAh Lithium Polymer Battery,"1,11,744 Ratings & 6,424 Reviews",37% off
